pickup_datetime,passenger_count,trip_distance,total_amount,duration,n_trips
2022-10-26,138336,186601.94,1643415.29,1310095.7833333334,104270
2022-10-27,140337,187855.62,1670875.74,1354031.4666666666,105444
2022-10-28,148238,193293.87,1684972.93,1336778.2333333334,107361
2022-10-29,152829,201064.42,1643126.22,1284897.2666666666,105198
2022-10-30,123254,172113.94,1315751.52,967105.3,86247
2022-10-31,113650,148596.9,1244884.51,931268.2166666668,83228
2022-11-01,130299,177569.68,1532259.79,1195674.566666667,98518
2022-11-02,137002,186264.55,1629722.08,1297377.066666667,103845
2022-11-03,141710,190142.75,1679661.94,1348126.7833333334,106617
2022-11-04,149725,194994.28,1684284.22,1327939.85,107946
2022-11-05,159620,206149.82,1692059.74,1344112.6333333333,108685
2022-11-06,117912,160191.98,1226789.23,882306.2666666667,81513
2022-11-07,121573,163486.78,1381249.78,1056054.8666666667,90345
2022-11-08,133068,180416.33,1534662.81,1200650.7666666666,101528
2022-11-09,137981,185109.86,1652883.89,1323689.6166666667,104943
2022-11-10,141201,187767.3,1689627.3,1373806.0333333334,106320
2022-11-11,128139,163798.72,1433646.18,1144245.3,92989
2022-11-12,158014,204749.31,1686846.51,1326924.9166666667,108523
2022-11-13,127816,175614.71,1367734.26,1000394.4,90372
2022-11-14,90561,117884.41,1005049.91,768452.2,66074
2022-11-15,99292,127848.62,1147831.76,914940.45,73430
2022-11-16,101220,131607.45,1171920.96,929663.6333333332,74492
2022-11-17,103945,136650.02,1204382.4,958983.9166666666,76297
2022-11-18,109451,140861.12,1213748.74,947263.1833333332,78214
2022-11-19,114827,147776.47,1203073.81,929084.0333333332,78033
2022-11-20,94803,127269.9,978856.0,708673.0166666667,65190
2022-11-21,120948,155944.26,1361006.22,1052471.0333333334,89758
2022-11-22,126006,160578.18,1443480.87,1156043.2833333334,93573
2022-11-23,123635,151202.33,1323965.34,1034325.3333333334,87099
2022-11-24,86256,112957.77,844526.77,570413.5333333333,57750
2022-11-25,111028,133881.83,1079919.42,778023.0166666667,72549
2022-11-26,122073,151231.82,1203443.09,915327.6,79987
2022-11-27,100951,130330.26,1016518.45,733051.9166666666,69718
2022-11-28,111687,149086.54,1254781.76,934181.5166666668,84094
2022-11-29,127671,168871.01,1496929.03,1167895.2,97125
2022-11-30,122407,159493.89,1456304.62,1147935.15,93606
2022-12-01,136457,176489.79,1613793.25,1294734.933333333,102671
2022-12-02,148264,186718.22,1656100.79,1316487.15,105811
2022-12-03,157043,194381.73,1642213.14,1288723.683333333,106308
2022-12-04,125984,165830.94,1314796.42,971450.4666666668,86749
2022-12-05,122778,163481.18,1404601.0,1082111.05,91409
2022-12-06,123034,158652.94,1485153.87,1204737.9666666666,93784
2022-12-07,128768,171050.29,1552612.31,1246475.0333333334,97645
2022-12-08,136814,181264.21,1649384.98,1330684.0,103274
2022-12-09,149583,190623.34,1701469.54,1353573.816666667,107911
2022-12-10,151044,189635.2,1614236.06,1269055.1166666667,103725
2022-12-11,122343,158091.09,1277490.66,949897.6,84555
2022-12-12,122835,159574.59,1396083.18,1074960.85,91190
2022-12-13,133740,175814.5,1584845.66,1257425.4833333334,100745
2022-12-14,137615,182531.81,1648250.51,1313086.066666667,104384
2022-12-15,137644,178045.89,1642539.31,1318270.7666666666,103963
2022-12-16,141153,176920.47,1611446.46,1280002.683333333,102750
2022-12-17,147757,183125.88,1551406.35,1207684.6666666667,100403
2022-12-18,117359,155818.29,1224697.51,883088.3166666667,80305
2022-12-19,129293,162445.07,1788235.53,1038558.7,93372
2022-12-20,132483,165812.3,1905791.02,1143119.2833333334,96188
2022-12-21,128583,160978.41,1845390.62,1107032.933333333,93053
2022-12-22,117539,143168.66,1648552.65,982022.15,84536
2022-12-23,115255,137138.05,1542253.01,868691.7166666667,80942
